epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4667,0.82983,0.40305,0.92029,0.9336,0.78802,0.83199,0.63103,1.02981,0.51949,0.9252,0.000208813,0.000208813,0.000208813
71,4734.52,0.80695,0.35338,0.91126,0.94418,0.78148,0.83067,0.6269,1.03824,0.52973,0.92955,0.000191129,0.000191129,0.000191129
72,4800.89,0.79028,0.34231,0.90915,0.9521,0.77789,0.83779,0.63372,1.032,0.52954,0.92877,0.000173445,0.000173445,0.000173445
73,4864.06,0.78553,0.34271,0.90202,0.94736,0.78126,0.83621,0.63218,1.03283,0.52629,0.92684,0.000155761,0.000155761,0.000155761
74,4932.95,0.78254,0.33902,0.90114,0.94599,0.78452,0.83585,0.63413,1.0286,0.52738,0.92778,0.000138077,0.000138077,0.000138077
75,4999.43,0.78106,0.34336,0.90129,0.93697,0.78464,0.8363,0.63568,1.02827,0.52554,0.9276,0.000120393,0.000120393,0.000120393
76,5061.9,0.77667,0.33594,0.90293,0.95352,0.77765,0.8357,0.63478,1.0264,0.51834,0.92466,0.000102709,0.000102709,0.000102709
77,5131.02,0.76988,0.33128,0.89928,0.93907,0.78286,0.83696,0.63342,1.0264,0.51594,0.92431,8.50255e-05,8.50255e-05,8.50255e-05
78,5193.02,0.76654,0.32736,0.90048,0.94954,0.77397,0.83588,0.6392,1.02059,0.51249,0.92139,6.73416e-05,6.73416e-05,6.73416e-05
79,5261.02,0.77606,0.32996,0.89869,0.95255,0.77292,0.83409,0.63642,1.02107,0.51179,0.9229,4.96578e-05,4.96578e-05,4.96578e-05
80,5330.59,0.76086,0.33077,0.89227,0.93563,0.78589,0.83635,0.63737,1.02109,0.51329,0.92192,3.19739e-05,3.19739e-05,3.19739e-05
