epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,870.864,0.98165,0.58663,1.07649,0.93821,0.94281,0.98295,0.62324,1.30819,0.51939,1.11402,0.000491755,0.000491755,0.000491755
55,886.781,1.00116,0.58318,1.0781,0.97359,0.91608,0.98293,0.6316,1.28305,0.50744,1.12574,0.000474071,0.000474071,0.000474071
56,902.411,0.98873,0.59052,1.07314,0.95779,0.93957,0.98313,0.59515,1.40162,0.54114,1.17876,0.000456387,0.000456387,0.000456387
57,918.209,0.98036,0.58134,1.07635,0.9742,0.94351,0.98518,0.64341,1.21797,0.48629,1.0866,0.000438703,0.000438703,0.000438703
58,933.962,0.99942,0.60267,1.09475,0.96885,0.95542,0.9853,0.66239,1.16068,0.4705,1.05152,0.000421019,0.000421019,0.000421019
59,949.937,0.97475,0.58019,1.07067,0.96293,0.94633,0.98636,0.65263,1.21293,0.4779,1.08532,0.000403335,0.000403335,0.000403335
60,965.768,0.96075,0.56991,1.05354,0.96524,0.96142,0.98873,0.65785,1.20696,0.4641,1.08812,0.000385651,0.000385651,0.000385651
61,981.687,0.94331,0.55471,1.05106,0.96294,0.91897,0.98063,0.64404,1.25017,0.50484,1.1098,0.000367967,0.000367967,0.000367967
62,997.377,0.95837,0.55892,1.06321,0.95745,0.93896,0.98316,0.64327,1.20764,0.48121,1.07539,0.000350284,0.000350284,0.000350284
63,1013.31,0.9472,0.55556,1.05047,0.96896,0.93392,0.98515,0.63804,1.26243,0.48345,1.12029,0.0003326,0.0003326,0.0003326
64,1029.21,0.96195,0.55431,1.06154,0.93949,0.95876,0.97928,0.64342,1.22012,0.48631,1.08843,0.000314916,0.000314916,0.000314916
65,1045.14,0.94381,0.55713,1.05768,0.95775,0.94472,0.98033,0.63563,1.23704,0.49193,1.10555,0.000297232,0.000297232,0.000297232
66,1061.01,0.94535,0.53423,1.04922,0.9731,0.93745,0.97853,0.65045,1.19423,0.4741,1.08436,0.000279548,0.000279548,0.000279548
67,1077.02,0.93486,0.54674,1.04937,0.97213,0.94265,0.98186,0.63473,1.24115,0.48362,1.08566,0.000261864,0.000261864,0.000261864
68,1093.05,0.9219,0.54068,1.04236,0.96303,0.94845,0.98299,0.65866,1.15461,0.46323,1.0602,0.00024418,0.00024418,0.00024418
69,1109.07,0.92964,0.53485,1.0397,0.97383,0.94318,0.98284,0.64428,1.225,0.47299,1.11205,0.000226497,0.000226497,0.000226497
70,1124.95,0.92125,0.53717,1.04062,0.96596,0.93999,0.98063,0.64064,1.24342,0.48471,1.11121,0.000208813,0.000208813,0.000208813
71,1141.77,0.89004,0.43305,1.02801,0.97092,0.9433,0.98384,0.65439,1.19062,0.47617,1.08199,0.000191129,0.000191129,0.000191129
72,1157.58,0.90276,0.44179,1.02699,0.94739,0.97414,0.98657,0.69137,1.11554,0.45209,1.04352,0.000173445,0.000173445,0.000173445
73,1173.4,0.86758,0.43926,1.01739,0.97464,0.96145,0.98664,0.65268,1.21079,0.46848,1.09983,0.000155761,0.000155761,0.000155761
74,1189.01,0.87257,0.42359,1.0126,0.98051,0.96396,0.9874,0.65635,1.19061,0.45963,1.08657,0.000138077,0.000138077,0.000138077
75,1204.76,0.84842,0.41868,1.00401,0.97525,0.96388,0.98799,0.65601,1.19356,0.45583,1.07805,0.000120393,0.000120393,0.000120393
76,1220.45,0.84973,0.41339,1.00335,0.98015,0.96427,0.98767,0.65192,1.22304,0.46335,1.09848,0.000102709,0.000102709,0.000102709
77,1236.34,0.84158,0.41224,0.99469,0.97743,0.96388,0.98749,0.66222,1.16189,0.44859,1.06581,8.50255e-05,8.50255e-05,8.50255e-05
78,1252.02,0.83845,0.40946,0.99727,0.97564,0.96305,0.98726,0.66053,1.18341,0.46167,1.08313,6.73416e-05,6.73416e-05,6.73416e-05
79,1267.8,0.84098,0.44742,0.99321,0.97972,0.96448,0.98803,0.66038,1.18626,0.45585,1.08459,4.96578e-05,4.96578e-05,4.96578e-05
80,1283.6,0.84186,0.40696,1.00182,0.98141,0.96534,0.98794,0.65935,1.19244,0.45483,1.08697,3.19739e-05,3.19739e-05,3.19739e-05
