                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.54055,                0.33872,                0.88743,                0.93941,                0.94591,                0.97339,                0.75685,                0.89857,                0.37648,                0.95872,               0.004588,               0.004588,               0.004588
                     84,                0.53066,                0.33142,                0.88413,                0.93933,                0.94565,                0.97344,                0.75757,                0.89783,                0.37612,                0.95856,               0.004522,               0.004522,               0.004522
                     85,                0.53169,                0.33217,                0.88431,                0.94095,                0.94407,                0.97356,                0.75781,                0.89676,                0.37576,                 0.9583,               0.004456,               0.004456,               0.004456
                     86,                0.53004,                0.32934,                0.88368,                0.94098,                0.94379,                0.97383,                0.75797,                 0.8961,                0.37539,                0.95814,                0.00439,                0.00439,                0.00439
                     87,                0.53359,                0.33206,                 0.8855,                0.94045,                0.94653,                0.97384,                0.75867,                0.89473,                0.37457,                0.95778,               0.004324,               0.004324,               0.004324
                     88,                 0.5323,                 0.3298,                0.88312,                0.94141,                0.94479,                0.97388,                 0.7592,                0.89419,                  0.374,                0.95754,               0.004258,               0.004258,               0.004258
                     89,                0.53121,                0.32836,                0.88256,                0.94041,                0.94704,                0.97388,                0.75967,                0.89278,                0.37339,                 0.9572,               0.004192,               0.004192,               0.004192
                     90,                0.52414,                0.32232,                0.88188,                 0.9409,                0.94738,                 0.9738,                0.75968,                0.89208,                0.37289,                0.95686,               0.004126,               0.004126,               0.004126
                     91,                0.52857,                0.32705,                0.88072,                0.94099,                0.94611,                0.97371,                0.75997,                0.89086,                0.37236,                0.95656,                0.00406,                0.00406,                0.00406
                     92,                0.52294,                0.32096,                0.88074,                0.94069,                 0.9456,                0.97375,                0.76043,                0.89028,                0.37179,                0.95625,               0.003994,               0.003994,               0.003994
                     93,                0.51641,                0.31976,                0.87937,                0.93714,                 0.9458,                0.97367,                0.76023,                0.88946,                0.37178,                0.95599,               0.003928,               0.003928,               0.003928
                     94,                0.51336,                0.31794,                 0.8788,                0.93683,                 0.9457,                0.97365,                0.76193,                0.88857,                0.37156,                0.95574,               0.003862,               0.003862,               0.003862
                     95,                0.51565,                0.31441,                0.88091,                0.93858,                0.94678,                0.97362,                0.76181,                0.88759,                0.37039,                0.95545,               0.003796,               0.003796,               0.003796
                     96,                0.51356,                0.31622,                0.87953,                0.93879,                0.94673,                0.97359,                0.76227,                 0.8869,                0.37004,                0.95527,                0.00373,                0.00373,                0.00373
                     97,                0.51553,                0.31273,                0.88047,                0.93752,                0.94695,                0.97372,                0.76313,                0.88591,                0.36984,                0.95516,               0.003664,               0.003664,               0.003664
                     98,                 0.5084,                0.30882,                0.88088,                0.93901,                0.94842,                0.97364,                0.76291,                 0.8853,                0.36883,                0.95499,               0.003598,               0.003598,               0.003598
                     99,                0.50944,                0.31191,                0.87979,                0.93902,                0.94849,                0.97372,                0.76333,                0.88402,                0.36862,                0.95477,               0.003532,               0.003532,               0.003532
                    100,                0.51107,                0.31398,                0.87745,                0.93902,                 0.9488,                0.97383,                0.76348,                0.88286,                0.36791,                0.95455,               0.003466,               0.003466,               0.003466
                    101,                0.51113,                0.30932,                0.87846,                0.93725,                0.95136,                0.97394,                0.76475,                0.88215,                0.36773,                0.95432,                 0.0034,                 0.0034,                 0.0034
                    102,                0.50927,                0.30844,                0.87694,                 0.9371,                0.95201,                0.97405,                0.76475,                0.88085,                0.36709,                0.95396,               0.003334,               0.003334,               0.003334
                    103,                 0.5019,                0.30612,                0.87444,                0.93735,                0.95138,                0.97416,                 0.7649,                0.88003,                 0.3665,                0.95357,               0.003268,               0.003268,               0.003268
                    104,                0.50108,                0.30382,                0.87674,                 0.9374,                0.95154,                0.97421,                0.76524,                0.87872,                0.36626,                0.95346,               0.003202,               0.003202,               0.003202
                    105,                0.50378,                0.30544,                0.87742,                0.93733,                0.95133,                0.97423,                0.76629,                0.87817,                0.36566,                0.95332,               0.003136,               0.003136,               0.003136
                    106,                0.50451,                0.30463,                 0.8757,                0.94035,                0.95093,                0.97443,                0.76665,                0.87764,                 0.3656,                0.95332,                0.00307,                0.00307,                0.00307
                    107,                0.49382,                0.29777,                0.87299,                0.93994,                0.95099,                 0.9744,                0.76631,                0.87663,                0.36516,                0.95317,               0.003004,               0.003004,               0.003004
                    108,                0.49393,                0.29741,                0.87447,                0.94055,                0.95068,                0.97434,                0.76685,                0.87578,                0.36452,                 0.9529,               0.002938,               0.002938,               0.002938
                    109,                0.49118,                0.29568,                0.87236,                0.94089,                0.95068,                0.97435,                0.76714,                0.87444,                0.36397,                 0.9528,               0.002872,               0.002872,               0.002872
                    110,                0.49242,                0.29796,                0.87447,                0.94093,                0.95072,                0.97436,                0.76756,                0.87332,                0.36341,                0.95246,               0.002806,               0.002806,               0.002806
                    111,                0.49467,                0.29709,                0.87381,                0.94178,                0.95099,                0.97451,                0.76827,                0.87221,                0.36283,                0.95211,                0.00274,                0.00274,                0.00274
