                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.61107,                0.39499,                0.90873,                0.93194,                0.94726,                0.97069,                0.73126,                0.98147,                0.41459,                0.98452,               0.004357,               0.004357,               0.004357
                     59,                0.61014,                0.38825,                0.90463,                0.93206,                 0.9485,                 0.9709,                0.73205,                0.97931,                 0.4137,                0.98401,               0.004258,               0.004258,               0.004258
                     60,                0.60047,                 0.3837,                0.90473,                 0.9331,                0.94496,                0.97096,                0.73225,                0.97844,                0.41305,                0.98355,               0.004159,               0.004159,               0.004159
                     61,                0.60771,                0.38717,                0.90488,                0.93641,                0.94053,                0.97098,                0.73258,                0.97663,                0.41274,                0.98299,                0.00406,                0.00406,                0.00406
                     62,                0.59799,                 0.3848,                0.90295,                0.93716,                0.94059,                0.97132,                0.73293,                0.97514,                0.41116,                0.98253,               0.003961,               0.003961,               0.003961
                     63,                0.60575,                0.38589,                0.90471,                0.93765,                0.93938,                0.97163,                0.73387,                0.97352,                0.41028,                0.98214,               0.003862,               0.003862,               0.003862
                     64,                 0.5909,                0.37639,                0.90134,                0.93631,                0.94047,                  0.972,                0.73386,                0.97205,                0.40924,                0.98153,               0.003763,               0.003763,               0.003763
                     65,                0.58874,                0.37447,                0.89869,                0.93632,                0.94361,                0.97208,                0.73319,                0.97111,                0.40844,                 0.9814,               0.003664,               0.003664,               0.003664
                     66,                0.59435,                0.37272,                0.90092,                 0.9368,                0.94339,                0.97213,                0.73319,                0.96958,                0.40795,                0.98084,               0.003565,               0.003565,               0.003565
                     67,                  0.591,                0.37186,                0.90061,                0.93754,                0.94171,                0.97232,                0.73379,                 0.9688,                0.40759,                0.98041,               0.003466,               0.003466,               0.003466
                     68,                0.59199,                0.37175,                0.90039,                0.93732,                0.94379,                0.97241,                0.73343,                0.96794,                0.40689,                0.98018,               0.003367,               0.003367,               0.003367
                     69,                0.58294,                0.36829,                0.89607,                0.93905,                0.94394,                0.97228,                0.73422,                0.96721,                0.40648,                0.97971,               0.003268,               0.003268,               0.003268
                     70,                0.58356,                0.36869,                0.89743,                0.94315,                0.94134,                0.97225,                0.73506,                0.96609,                0.40602,                 0.9794,               0.003169,               0.003169,               0.003169
                     71,                0.58238,                0.36536,                0.89782,                0.94369,                0.94073,                0.97233,                0.73515,                0.96545,                 0.4059,                  0.979,                0.00307,                0.00307,                0.00307
                     72,                 0.5854,                0.36507,                0.89897,                0.94272,                0.94261,                0.97263,                0.73503,                 0.9641,                0.40498,                0.97857,               0.002971,               0.002971,               0.002971
                     73,                0.58099,                0.36024,                0.89745,                0.94286,                0.94291,                0.97279,                0.73579,                  0.963,                0.40455,                0.97823,               0.002872,               0.002872,               0.002872
                     74,                0.57851,                0.36015,                0.89652,                0.94383,                0.94293,                0.97281,                0.73675,                0.96253,                0.40403,                0.97816,               0.002773,               0.002773,               0.002773
                     75,                0.57143,                0.35541,                0.89411,                0.94289,                0.94389,                0.97272,                0.73634,                0.96166,                  0.404,                0.97788,               0.002674,               0.002674,               0.002674
                     76,                 0.5757,                0.35267,                0.89538,                0.94389,                0.94414,                0.97292,                0.73664,                0.96069,                0.40345,                0.97743,               0.002575,               0.002575,               0.002575
                     77,                0.57054,                0.35227,                0.89605,                 0.9433,                0.94414,                 0.9732,                0.73723,                0.95934,                0.40343,                0.97714,               0.002476,               0.002476,               0.002476
                     78,                0.56438,                0.34695,                0.89208,                0.94312,                0.94439,                0.97327,                0.73723,                0.95867,                0.40283,                0.97691,               0.002377,               0.002377,               0.002377
                     79,                0.56286,                0.34467,                0.89026,                0.94484,                0.94301,                0.97335,                0.73764,                0.95777,                0.40216,                0.97664,               0.002278,               0.002278,               0.002278
                     80,                0.56518,                0.34639,                0.89337,                0.94394,                0.94349,                0.97352,                0.73834,                0.95679,                0.40101,                 0.9762,               0.002179,               0.002179,               0.002179
                     81,                0.56824,                0.34644,                0.89269,                0.93957,                0.94592,                0.97365,                0.73814,                0.95628,                0.40045,                 0.9761,                0.00208,                0.00208,                0.00208
                     82,                0.55857,                0.34168,                0.88919,                0.94403,                0.94379,                0.97354,                0.73792,                0.95521,                0.40043,                0.97582,               0.001981,               0.001981,               0.001981
                     83,                0.56042,                0.34247,                0.89012,                0.94355,                0.94352,                0.97313,                0.73834,                 0.9539,                0.40001,                0.97559,               0.001882,               0.001882,               0.001882
                     84,                0.55359,                0.33478,                0.88802,                0.94322,                0.94352,                0.97308,                 0.7385,                0.95281,                0.39943,                0.97522,               0.001783,               0.001783,               0.001783
                     85,                0.54974,                0.33505,                0.88804,                0.94486,                 0.9446,                0.97326,                0.73944,                0.95165,                0.39902,                0.97486,               0.001684,               0.001684,               0.001684
                     86,                0.54866,                0.33191,                 0.8869,                0.94477,                0.94394,                0.97339,                0.74014,                0.95044,                0.39904,                0.97446,               0.001585,               0.001585,               0.001585
                     87,                0.54983,                0.33283,                0.88861,                0.94491,                0.94402,                0.97348,                 0.7402,                0.94913,                0.39841,                0.97417,               0.001486,               0.001486,               0.001486
                     88,                0.54701,                0.32824,                0.88621,                0.94505,                0.93836,                0.97361,                0.74051,                 0.9484,                0.39767,                0.97383,               0.001387,               0.001387,               0.001387
                     89,                0.54677,                0.32639,                0.88512,                0.94332,                0.94242,                0.97375,                0.74149,                0.94704,                0.39733,                0.97346,               0.001288,               0.001288,               0.001288
                     90,                0.55116,                0.27775,                0.86103,                0.94327,                0.94526,                0.97396,                0.74246,                0.94566,                0.39662,                  0.973,               0.001189,               0.001189,               0.001189
                     91,                0.54553,                0.26829,                0.85899,                0.94238,                0.94589,                0.97406,                0.74239,                0.94421,                0.39643,                 0.9727,                0.00109,                0.00109,                0.00109
                     92,                0.54077,                0.26821,                0.85985,                0.94199,                0.94622,                0.97485,                0.74295,                0.94279,                0.39562,                0.97219,               0.000991,               0.000991,               0.000991
                     93,                0.53632,                0.26444,                  0.859,                0.93822,                 0.9464,                0.97488,                 0.7432,                0.94122,                0.39532,                0.97176,               0.000892,               0.000892,               0.000892
                     94,                0.53493,                0.26271,                0.85667,                 0.9418,                 0.9453,                0.97434,                0.74406,                0.93977,                0.39443,                0.97143,               0.000793,               0.000793,               0.000793
                     95,                0.52739,                0.25826,                0.85539,                0.94219,                0.94512,                0.97443,                0.74508,                0.93833,                0.39319,                0.97095,               0.000694,               0.000694,               0.000694
                     96,                 0.5266,                0.25643,                0.85367,                0.94357,                0.94487,                 0.9745,                0.74547,                0.93662,                0.39265,                 0.9705,               0.000595,               0.000595,               0.000595
                     97,                0.52453,                0.25552,                 0.8531,                0.94353,                0.94537,                0.97459,                0.74606,                0.93551,                0.39191,                0.97006,               0.000496,               0.000496,               0.000496
                     98,                0.52039,                0.25405,                0.85345,                0.94352,                0.94491,                0.97419,                0.74674,                0.93398,                0.39096,                0.96961,               0.000397,               0.000397,               0.000397
                     99,                0.51459,                0.24981,                0.85001,                0.94257,                0.94456,                 0.9742,                0.74703,                0.93248,                0.39058,                0.96925,               0.000298,               0.000298,               0.000298
